carat,cut,color,clarity,depth,table,price,x,y,z,log_price,cut_encoded,color_encoded,clarity_encoded
0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44,6.317164686747284,3,2,6
0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46,6.317164686747284,3,2,5
0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73,6.317164686747284,3,1,2
0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57,7.921898411023797,4,5,2
0.86,Fair,E,SI2,55.1,69.0,2757,6.45,6.33,3.52,7.921898411023797,0,5,1
0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3.5,7.921898411023797,4,3,3
0.71,Very Good,E,VS2,62.4,57.0,2759,5.68,5.73,3.56,7.922623574217286,2,5,3
0.78,Very Good,G,SI2,63.8,56.0,2759,5.81,5.85,3.72,7.922623574217286,2,3,1
0.7,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3.38,7.922623574217286,1,5,3
0.7,Good,F,VS1,59.4,62.0,2759,5.71,5.76,3.4,7.922623574217286,1,4,4
0.96,Fair,F,SI2,66.3,62.0,2759,6.27,5.95,4.07,7.922623574217286,0,4,1
0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,3.56,7.9229859587111955,2,5,2
0.8,Premium,H,SI1,61.5,58.0,2760,5.97,5.93,3.66,7.9229859587111955,3,2,2
0.75,Very Good,D,SI1,63.2,56.0,2760,5.8,5.75,3.65,7.9229859587111955,2,6,2
0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58,7.9229859587111955,3,5,2
0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59,7.9229859587111955,4,3,2
0.75,Premium,G,VS2,61.7,58.0,2760,5.85,5.79,3.59,7.9229859587111955,3,3,3
0.8,Ideal,I,VS1,62.9,56.0,2760,5.94,5.87,3.72,7.9229859587111955,4,1,4
0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,3.63,7.9229859587111955,4,3,2
0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69,7.9229859587111955,3,3,2
0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61,7.923348211930154,4,1,5
0.81,Ideal,F,SI2,58.8,57.0,2761,6.14,6.11,3.6,7.923348211930154,4,4,1
0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35,7.923348211930154,4,5,5
0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67,7.923348211930154,4,4,1
0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,3.62,7.923348211930154,4,5,1
0.9,Premium,I,VS2,63.0,58.0,2761,6.16,6.12,3.87,7.923348211930154,3,1,3
0.74,Very Good,G,SI1,62.2,59.0,2762,5.73,5.82,3.59,7.923710333969238,2,3,2
0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6,7.923710333969238,4,4,3
0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3.62,7.923710333969238,4,4,3
0.8,Premium,F,SI2,61.7,58.0,2762,5.98,5.94,3.68,7.923710333969238,3,4,1
0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3.58,7.923710333969238,4,3,3
0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49,7.923710333969238,4,5,3
0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,3.62,7.923710333969238,4,4,1
0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,3.56,7.923710333969238,4,6,1
0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62,7.923710333969238,4,5,2
0.7,Very Good,F,VS2,61.7,63.0,2762,5.64,5.61,3.47,7.923710333969238,2,4,3
0.7,Fair,F,VS2,64.5,57.0,2762,5.57,5.53,3.58,7.923710333969238,0,4,3
0.7,Fair,F,VS2,65.3,55.0,2762,5.63,5.58,3.66,7.923710333969238,0,4,3
0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46,7.923710333969238,3,4,3
0.91,Premium,H,SI1,61.4,56.0,2763,6.09,5.97,3.7,7.924072324923417,3,2,2
0.61,Very Good,D,VVS2,59.6,57.0,2763,5.56,5.58,3.32,7.924072324923417,2,6,5
0.91,Fair,H,SI2,64.4,57.0,2763,6.11,6.09,3.93,7.924072324923417,0,2,1
0.91,Fair,H,SI2,65.7,60.0,2763,6.03,5.99,3.95,7.924072324923417,0,2,1
0.77,Ideal,H,VS2,62.0,56.0,2763,5.89,5.86,3.64,7.924072324923417,4,2,3
0.71,Very Good,D,SI1,63.6,58.0,2764,5.64,5.68,3.6,7.92443418488756,2,6,2
0.71,Ideal,D,SI1,61.9,59.0,2764,5.69,5.72,3.53,7.92443418488756,4,6,2
0.7,Very Good,E,VS2,62.6,60.0,2765,5.62,5.65,3.53,7.9247959139564355,2,5,3
0.77,Very Good,H,VS1,61.3,60.0,2765,5.88,5.9,3.61,7.9247959139564355,2,2,4
0.63,Premium,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37,7.9247959139564355,3,5,6
0.71,Very Good,F,VS1,60.1,62.0,2765,5.74,5.77,3.46,7.9247959139564355,2,4,4
0.71,Premium,F,VS1,61.8,59.0,2765,5.69,5.73,3.53,7.9247959139564355,3,4,4
0.76,Ideal,H,SI1,61.2,57.0,2765,5.88,5.91,3.61,7.9247959139564355,4,2,2
0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43,7.925157512224703,4,3,6
0.71,Premium,G,VS2,60.9,57.0,2766,5.78,5.75,3.51,7.925157512224703,3,3,3
0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5,7.925157512224703,3,3,3
0.7,Very Good,D,VS2,61.8,55.0,2767,5.68,5.72,3.52,7.925518979786926,2,6,3
0.7,Very Good,F,VS1,60.0,57.0,2767,5.8,5.87,3.5,7.925518979786926,2,4,4
0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54,7.925518979786926,4,6,1
0.7,Good,H,VVS2,62.1,64.0,2767,5.62,5.65,3.5,7.925518979786926,1,2,5
0.71,Very Good,G,VS1,63.3,59.0,2768,5.52,5.61,3.52,7.92588031673756,2,3,4
0.73,Very Good,D,SI1,60.2,56.0,2768,5.83,5.87,3.52,7.92588031673756,2,6,2
0.7,Very Good,D,SI1,61.1,58.0,2768,5.66,5.73,3.48,7.92588031673756,2,6,2
0.7,Ideal,E,SI1,60.9,57.0,2768,5.73,5.76,3.5,7.92588031673756,4,5,2
0.71,Premium,D,SI2,61.7,59.0,2768,5.71,5.67,3.51,7.92588031673756,3,6,1
0.74,Ideal,I,SI1,61.3,56.0,2769,5.82,5.86,3.57,7.926241523170962,4,1,2
0.71,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3.52,7.926602599181384,3,6,3
0.73,Premium,G,VS2,61.4,59.0,2770,5.83,5.76,3.56,7.926602599181384,3,3,3
0.76,Very Good,F,SI1,62.9,57.0,2770,5.79,5.81,3.65,7.926602599181384,2,4,2
0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,3.62,7.926602599181384,4,6,1
0.71,Ideal,F,SI1,60.7,56.0,2770,5.77,5.8,3.51,7.926602599181384,4,4,2
0.73,Premium,G,VS2,60.7,58.0,2770,5.87,5.82,3.55,7.926602599181384,3,3,3
0.73,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,3.55,7.926602599181384,3,3,4
0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,3.54,7.926602599181384,4,6,1
0.73,Premium,G,VS2,59.2,59.0,2770,5.92,5.87,3.49,7.926602599181384,3,3,3
0.72,Very Good,H,VVS2,60.3,56.0,2771,5.81,5.83,3.51,7.9269635448629785,2,2,5
0.73,Very Good,F,SI1,61.7,60.0,2771,5.79,5.82,3.58,7.9269635448629785,2,4,2
0.71,Ideal,G,VS2,61.9,57.0,2771,5.73,5.77,3.56,7.9269635448629785,4,3,3
0.79,Ideal,F,SI2,61.9,55.0,2771,5.97,5.92,3.68,7.9269635448629785,4,4,1
0.73,Very Good,H,VVS1,60.4,59.0,2772,5.83,5.89,3.54,7.927324360309794,2,2,6
0.8,Very Good,F,SI2,61.0,57.0,2772,6.01,6.03,3.67,7.927324360309794,2,4,1
0.58,Ideal,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33,7.927324360309794,4,3,6
0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3,7.927324360309794,4,4,6
0.71,Good,E,VS2,59.2,61.0,2772,5.8,5.88,3.46,7.927324360309794,1,5,3
0.75,Ideal,D,SI2,61.3,56.0,2773,5.85,5.89,3.6,7.927685045615778,4,6,1
0.7,Premium,D,VS2,58.0,62.0,2773,5.87,5.78,3.38,7.927685045615778,3,6,3
1.17,Very Good,J,I1,60.2,61.0,2774,6.83,6.9,4.13,7.928045600874777,2,0,0
0.6,Ideal,E,VS1,61.7,55.0,2774,5.41,5.44,3.35,7.928045600874777,4,5,4
0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58,7.928045600874777,4,5,2
0.83,Good,I,VS2,64.6,54.0,2774,5.85,5.88,3.79,7.928045600874777,1,1,3
0.74,Very Good,F,VS2,61.3,61.0,2775,5.8,5.84,3.57,7.928406026180535,2,4,3
0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69,3.61,7.9287663216266955,2,3,3
0.71,Premium,E,VS2,62.7,58.0,2776,5.74,5.68,3.58,7.9287663216266955,3,5,3
0.71,Ideal,E,VS2,62.2,57.0,2776,5.79,5.62,3.55,7.9287663216266955,4,5,3
0.54,Ideal,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24,7.9287663216266955,4,5,5
0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23,7.9287663216266955,4,5,5
0.72,Ideal,G,SI1,61.8,56.0,2776,5.72,5.75,3.55,7.9287663216266955,4,3,2
0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,3.53,7.9287663216266955,4,3,2
0.72,Good,G,VS2,59.7,60.5,2776,5.8,5.84,3.47,7.9287663216266955,1,3,3
0.71,Ideal,G,SI1,60.5,56.0,2776,5.8,5.76,3.5,7.9287663216266955,4,3,2
0.7,Very Good,D,VS1,62.7,58.0,2777,5.66,5.73,3.57,7.9291264873067995,2,6,4
0.71,Premium,F,VS2,62.1,58.0,2777,5.67,5.7,3.53,7.9291264873067995,3,4,3
0.71,Very Good,F,VS2,62.8,57.0,2777,5.64,5.69,3.56,7.9291264873067995,2,4,3
0.71,Good,F,VS2,63.8,58.0,2777,5.61,5.64,3.59,7.9291264873067995,1,4,3
0.71,Good,F,VS2,57.8,60.0,2777,5.87,5.9,3.4,7.9291264873067995,1,4,3
0.7,Ideal,E,VS2,62.1,55.0,2777,5.7,5.67,3.53,7.9291264873067995,4,5,3
0.7,Premium,E,VS2,61.1,60.0,2777,5.71,5.64,3.47,7.9291264873067995,3,5,3
0.7,Premium,E,SI1,60.0,59.0,2777,5.79,5.75,3.46,7.9291264873067995,3,5,2
0.7,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,3.49,7.9291264873067995,3,5,2
0.7,Premium,E,SI1,62.7,59.0,2777,5.67,5.63,3.54,7.9291264873067995,3,5,2
0.7,Premium,E,SI1,61.0,57.0,2777,5.73,5.68,3.48,7.9291264873067995,3,5,2
0.7,Premium,E,SI1,61.0,58.0,2777,5.78,5.72,3.51,7.9291264873067995,3,5,2
0.7,Ideal,E,SI1,61.4,57.0,2777,5.76,5.7,3.52,7.9291264873067995,4,5,2
0.72,Premium,F,SI1,61.8,61.0,2777,5.82,5.71,3.56,7.9291264873067995,3,4,2
0.7,Very Good,E,SI1,59.9,63.0,2777,5.76,5.7,3.43,7.9291264873067995,2,5,2
0.7,Premium,E,SI1,61.3,58.0,2777,5.71,5.68,3.49,7.9291264873067995,3,5,2
0.7,Premium,E,SI1,60.5,58.0,2777,5.77,5.74,3.48,7.9291264873067995,3,5,2
0.7,Good,E,VS2,64.1,59.0,2777,5.64,5.59,3.6,7.9291264873067995,1,5,3
0.98,Fair,H,SI2,67.9,60.0,2777,6.05,5.97,4.08,7.9291264873067995,0,2,1
0.78,Premium,F,SI1,62.4,58.0,2777,5.83,5.8,3.63,7.9291264873067995,3,4,2
0.7,Very Good,E,SI1,63.2,60.0,2777,5.6,5.51,3.51,7.9291264873067995,2,5,2
0.52,Ideal,F,VVS1,61.3,55.0,2778,5.19,5.22,3.19,7.9294865233142895,4,4,6
0.73,Very Good,H,VS2,60.8,56.0,2779,5.82,5.84,3.55,7.929846429742503,2,2,3
0.74,Ideal,E,SI1,61.7,56.0,2779,5.84,5.8,3.59,7.929846429742503,4,5,2
0.7,Very Good,F,VS2,63.6,57.0,2780,5.61,5.65,3.58,7.930206206684683,2,4,3
0.77,Premium,G,VS2,61.2,58.0,2780,5.9,5.93,3.62,7.930206206684683,3,3,3
0.71,Ideal,F,VS2,62.1,54.0,2780,5.68,5.72,3.54,7.930206206684683,4,4,3
0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59,7.930206206684683,4,3,4
0.7,Ideal,G,VS1,61.4,59.0,2780,5.64,5.73,3.49,7.930206206684683,4,3,4
1.01,Premium,F,I1,61.8,60.0,2781,6.39,6.36,3.94,7.930565854233965,3,4,0
0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64,7.930565854233965,4,2,2
0.78,Ideal,H,SI1,61.2,56.0,2781,5.92,5.99,3.64,7.930565854233965,4,2,2
0.72,Very Good,H,VS1,60.6,63.0,2782,5.83,5.76,3.51,7.930925372483388,2,2,4
0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08,7.930925372483388,2,6,5
0.76,Ideal,G,VS2,61.3,56.0,2782,5.9,5.94,3.63,7.930925372483388,4,3,3
0.7,Good,E,VS1,57.2,62.0,2782,5.81,5.77,3.31,7.930925372483388,1,5,4
0.7,Premium,E,VS1,62.9,60.0,2782,5.62,5.54,3.51,7.930925372483388,3,5,4
0.75,Very Good,D,SI2,63.1,58.0,2782,5.78,5.73,3.63,7.930925372483388,2,6,1
0.72,Ideal,D,SI1,60.8,57.0,2782,5.76,5.75,3.5,7.930925372483388,4,6,2
0.72,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,3.58,7.930925372483388,3,6,2
0.7,Premium,D,SI1,62.8,60.0,2782,5.68,5.66,3.56,7.930925372483388,3,6,2
0.84,Fair,G,SI1,55.1,67.0,2782,6.39,6.2,3.47,7.930925372483388,0,3,2
0.75,Premium,F,SI1,61.4,59.0,2782,5.88,5.85,3.6,7.930925372483388,3,4,2
0.52,Ideal,F,IF,62.2,55.0,2783,5.14,5.18,3.21,7.931284761525891,4,4,7
0.72,Very Good,F,VS2,63.0,54.0,2784,5.69,5.73,3.6,7.931644021454311,2,4,3
0.79,Very Good,H,VS1,63.7,56.0,2784,5.85,5.92,3.75,7.931644021454311,2,2,4
0.72,Very Good,F,VS2,63.6,58.0,2787,5.66,5.69,3.61,7.932721027481948,2,4,3
0.51,Ideal,F,VVS1,62.0,57.0,2787,5.11,5.15,3.18,7.932721027481948,4,4,6
0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,3.41,7.932721027481948,4,6,4
0.7,Very Good,H,VVS1,60.5,60.0,2788,5.74,5.77,3.48,7.933079771880415,2,2,6
0.83,Very Good,I,VS1,61.1,60.0,2788,6.07,6.1,3.72,7.933079771880415,2,1,4
0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62,7.933079771880415,4,1,5
0.71,Good,D,VS2,63.3,56.0,2788,5.64,5.68,3.58,7.933079771880415,1,6,3
0.77,Good,G,VS1,59.4,64.0,2788,5.97,5.92,3.53,7.933079771880415,1,3,4
0.71,Ideal,F,SI1,62.5,55.0,2788,5.71,5.65,3.55,7.933079771880415,4,4,2
1.01,Fair,E,I1,64.5,58.0,2788,6.29,6.21,4.03,7.933079771880415,0,5,0
1.01,Premium,H,SI2,62.7,59.0,2788,6.31,6.22,3.93,7.933079771880415,3,2,1
0.77,Good,F,SI1,64.2,52.0,2789,5.81,5.77,3.72,7.933438387627489,1,4,2
0.76,Good,E,SI1,63.7,54.0,2789,5.76,5.85,3.7,7.933438387627489,1,5,2
0.76,Premium,E,SI1,60.4,58.0,2789,5.92,5.94,3.58,7.933438387627489,3,5,2
0.76,Premium,E,SI1,61.8,58.0,2789,5.82,5.86,3.61,7.933438387627489,3,5,2
1.05,Very Good,J,SI2,63.2,56.0,2789,6.49,6.45,4.09,7.933438387627489,2,0,1
0.81,Ideal,G,SI2,61.6,56.0,2789,5.97,6.01,3.69,7.933438387627489,4,3,1
0.7,Ideal,E,SI1,61.6,56.0,2789,5.72,5.75,3.53,7.933438387627489,4,5,2
0.55,Ideal,G,IF,60.9,57.0,2789,5.28,5.3,3.22,7.933438387627489,4,3,7
0.81,Good,G,SI2,61.0,61.0,2789,5.94,5.99,3.64,7.933438387627489,1,3,1
0.63,Premium,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38,7.933438387627489,3,5,5
0.63,Premium,E,VVS1,60.9,60.0,2789,5.55,5.52,3.37,7.933438387627489,3,5,6
0.77,Premium,H,VS1,61.3,60.0,2789,5.9,5.88,3.61,7.933438387627489,3,2,4
1.05,Fair,J,SI2,65.8,59.0,2789,6.41,6.27,4.18,7.933438387627489,0,0,1
0.64,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,3.41,7.933796874815411,4,3,7
0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51,7.933796874815411,3,1,6
0.83,Ideal,F,SI2,62.3,55.0,2790,6.02,6.05,3.76,7.933796874815411,4,4,1
0.71,Premium,F,VS1,60.1,62.0,2790,5.77,5.74,3.46,7.933796874815411,3,4,4
0.71,Premium,F,VS1,61.8,59.0,2790,5.73,5.69,3.53,7.933796874815411,3,4,4
0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,3.87,7.934155233536322,2,1,2
0.73,Ideal,E,SI1,62.2,56.0,2791,5.74,5.78,3.58,7.934155233536322,4,5,2
0.71,Premium,E,SI1,59.2,59.0,2792,5.83,5.86,3.46,7.934513463882263,3,5,2
0.71,Premium,E,SI1,61.8,59.0,2792,5.7,5.75,3.54,7.934513463882263,3,5,2
0.71,Ideal,E,SI1,61.3,55.0,2792,5.72,5.77,3.52,7.934513463882263,4,5,2
0.7,Premium,F,VS1,62.1,60.0,2792,5.71,5.65,3.53,7.934513463882263,3,4,4
0.7,Premium,F,VS1,60.7,60.0,2792,5.78,5.75,3.5,7.934513463882263,3,4,4
0.76,Premium,H,VVS2,59.6,57.0,2792,5.91,5.86,3.51,7.934513463882263,3,2,5
